concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hip, without tophus (tophi)",M1A.0590
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hip, without tophus (tophi)",M1A.0590
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right ankle and foot",M10.371
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left knee",M10.262
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left knee",M10.262
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right elbow, with tophus (tophi)",M1A.4211
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right elbow, with tophus (tophi)",M1A.4211
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right elbow, with tophus (tophi)",M1A.4211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right elbow, with tophus (tophi)",M1A.4211
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right elbow, with tophus (tophi)",M1A.4211
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hip, with tophus (tophi)",M1A.3591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hip, with tophus (tophi)",M1A.3591
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified hip, with tophus (tophi)",M1A.3591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hip, with tophus (tophi)",M1A.3591
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified hip, with tophus (tophi)",M1A.3591
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hand, with tophus (tophi)",M1A.3421
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left hand, with tophus (tophi)",M1A.3421
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hand, with tophus (tophi)",M1A.3421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hand, with tophus (tophi)",M1A.3421
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left hand, with tophus (tophi)",M1A.3421
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, with tophus (tophi)",M1A.3191
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, with tophus (tophi)",M1A.3191
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, with tophus (tophi)",M1A.3191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, with tophus (tophi)",M1A.3191
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, unspecified shoulder, with tophus (tophi)",M1A.3191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right elbow, without tophus (tophi)",M1A.2210
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right elbow, without tophus (tophi)",M1A.2210
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right knee, with tophus (tophi)",M1A.0611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left elbow, without tophus (tophi)",M1A.0220
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left elbow, without tophus (tophi)",M1A.0220
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right shoulder, with tophus (tophi)",M1A.0111
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right hip",M10.351
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified wrist",M10.239
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified wrist",M10.239
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right elbow",M10.221
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, right elbow",M10.221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left wrist, without tophus (tophi)",M1A.0320
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left wrist, without tophus (tophi)",M1A.0320
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified hip",M10.159
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified hip",M10.159
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right shoulder, without tophus (tophi)",M1A.0110
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right shoulder, without tophus (tophi)",M1A.0110
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left wrist",M10.232
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left wrist",M10.232
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified site, without tophus (tophi)",M1A.40X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified site, without tophus (tophi)",M1A.40X0
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, vertebrae",M10.38
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, right elbow",M10.321
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left hip",M10.252
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left hip",M10.252
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left shoulder",M10.112
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left shoulder",M10.112
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left shoulder, without tophus (tophi)",M1A.4120
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left shoulder, without tophus (tophi)",M1A.4120
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left knee, with tophus (tophi)",M1A.3621
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left knee, with tophus (tophi)",M1A.3621
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left knee, with tophus (tophi)",M1A.3621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left knee, with tophus (tophi)",M1A.3621
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left knee, with tophus (tophi)",M1A.3621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, multiple sites, without tophus (tophi)",M1A.29X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, multiple sites, without tophus (tophi)",M1A.29X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified hand, with tophus (tophi)",M1A.0491
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified site, without tophus (tophi)",M1A.00X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified site, without tophus (tophi)",M1A.00X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right elbow, with tophus (tophi)",M1A.0211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left shoulder, with tophus (tophi)",M1A.0121
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, left wrist",M10.432
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hip, without tophus (tophi)",M1A.4590
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified hip, without tophus (tophi)",M1A.4590
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hip, without tophus (tophi)",M1A.4510
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hip, without tophus (tophi)",M1A.4510
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified shoulder, with tophus (tophi)",M1A.0191
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right knee, with tophus (tophi)",M1A.4611
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right knee, with tophus (tophi)",M1A.4611
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right knee, with tophus (tophi)",M1A.4611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right knee, with tophus (tophi)",M1A.4611
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right knee, with tophus (tophi)",M1A.4611
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left elbow, without tophus (tophi)",M1A.2220
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left elbow, without tophus (tophi)",M1A.2220
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, multiple sites, with tophus (tophi)",M1A.09X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified site, with tophus (tophi)",M1A.40X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified site, with tophus (tophi)",M1A.40X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, unspecified site, with tophus (tophi)",M1A.40X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified site, with tophus (tophi)",M1A.40X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified site, with tophus (tophi)",M1A.40X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left shoulder, without tophus (tophi)",M1A.3120
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left shoulder, without tophus (tophi)",M1A.3120
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, multiple sites, without tophus (tophi)",M1A.09X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, multiple sites, without tophus (tophi)",M1A.09X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, with tophus (tophi)",M1A.3721
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, with tophus (tophi)",M1A.3721
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, with tophus (tophi)",M1A.3721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, with tophus (tophi)",M1A.3721
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left ankle and foot, with tophus (tophi)",M1A.3721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right ankle and foot, with tophus (tophi)",M1A.0711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified knee, without tophus (tophi)",M1A.0690
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified knee, without tophus (tophi)",M1A.0690
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, right wrist, with tophus (tophi)",M1A.0311
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified ankle and foot",M10.279
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, unspecified ankle and foot",M10.279
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left knee",M10.062
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, left knee",M10.062
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, vertebrae",M10.28
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, vertebrae",M10.28
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, vertebrae",M10.18
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, vertebrae",M10.18
